src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
172.24.219.170,35.237.69.59,62194,443,tcp,85,106022,16.705
52.123.253.84,172.24.219.170,443,61539,tcp,31,46308,0.931
172.24.219.170,98.95.159.8,61547,443,tcp,20,15008,3.273
51.8.64.151,172.24.219.170,443,51201,tcp,15,9346,9.701
51.8.64.151,172.24.219.170,443,61538,tcp,13,8930,9.476
35.237.69.59,172.24.219.170,443,62194,tcp,61,8891,16.701
172.24.219.170,104.18.18.125,64864,443,tcp,26,8242,15.363
98.95.159.8,172.24.219.170,443,61547,tcp,24,7800,3.423
216.239.34.223,172.24.219.170,443,49302,udp,14,6413,0.15
172.24.219.170,216.239.34.223,49302,443,udp,10,5047,0.159
172.24.219.170,51.8.64.151,51201,443,tcp,14,4746,10.711
104.18.18.125,172.24.219.170,443,64864,tcp,38,3207,15.288
172.24.219.170,52.123.253.84,61539,443,tcp,17,2678,0.982
172.24.219.170,51.8.64.151,61538,443,tcp,10,2673,9.469
172.24.219.170,100.52.87.151,65059,443,tcp,11,2177,5.109
172.24.219.170,18.232.254.206,54595,443,tcp,3,984,0.509
34.226.114.58,172.24.219.170,443,61562,tcp,13,858,15.746
52.200.247.187,172.24.219.170,443,58483,tcp,12,792,14.956
172.24.219.139,172.24.219.170,53,65497,udp,2,758,1.979
100.52.87.151,172.24.219.170,443,65059,tcp,6,727,0.054
172.24.219.170,34.226.114.58,61562,443,tcp,13,715,15.697
172.24.219.170,52.200.247.187,58483,443,tcp,13,715,16.307
18.232.254.206,172.24.219.170,443,54595,tcp,3,457,0.001
172.24.219.170,52.74.223.220,59696,443,tcp,5,348,14.831
172.24.219.170,52.74.223.220,65190,443,tcp,5,348,10.064
13.223.114.110,172.24.219.170,443,59258,tcp,5,345,14.806
172.24.219.139,172.24.219.170,53,63112,tcp,2,276,0.217
172.24.219.139,172.24.219.170,53,55385,tcp,2,276,0.0
52.74.223.220,172.24.219.170,443,59696,tcp,3,240,14.79
52.74.223.220,172.24.219.170,443,65190,tcp,3,240,10.016
151.101.106.208,172.24.219.170,443,58474,tcp,3,237,0.003
172.24.219.170,172.24.219.139,65497,53,udp,3,226,1.98
172.24.219.139,172.24.219.170,53,63962,tcp,2,221,0.207
108.158.232.44,172.24.219.170,443,53155,tcp,3,213,0.002
172.24.219.170,52.74.223.220,58780,443,tcp,3,201,4.724
52.45.167.33,172.24.219.170,443,61540,tcp,3,198,3.03
3.211.215.184,172.24.219.170,443,61541,tcp,3,198,3.04
52.21.244.50,172.24.219.170,443,61542,tcp,3,198,3.017
50.19.137.21,172.24.219.170,443,61543,tcp,3,198,3.024
52.54.99.133,172.24.219.170,443,61544,tcp,3,198,3.052
100.29.174.183,172.24.219.170,443,61545,tcp,3,198,3.039
32.195.87.2,172.24.219.170,443,61546,tcp,3,198,2.959
216.239.34.223,172.24.219.170,443,61242,tcp,2,189,0.0
34.160.81.0,172.24.219.170,443,63521,tcp,2,189,0.022
172.24.219.170,13.223.114.110,59258,443,tcp,3,162,0.0
99.83.165.34,172.24.219.170,443,55923,tcp,2,155,0.234
52.74.223.220,172.24.219.170,443,58780,tcp,2,147,4.669
172.24.219.170,13.248.241.7,55967,443,tcp,2,147,0.121
13.248.241.7,172.24.219.170,443,55967,tcp,2,147,0.076
172.24.219.170,99.83.165.34,55923,443,tcp,2,147,0.484
172.24.219.170,13.71.196.234,54105,8883,tcp,2,139,0.397
23.1.241.99,172.24.219.170,443,55557,tcp,2,132,0.068
172.24.219.170,51.8.64.151,62631,443,tcp,2,108,0.001
172.24.219.170,151.101.106.208,58474,443,tcp,2,108,0.002
172.24.219.170,108.158.232.44,53155,443,tcp,2,108,0.0
172.24.219.170,216.239.34.223,61242,443,tcp,2,108,0.0
172.24.219.170,34.160.81.0,63521,443,tcp,2,108,0.028
13.71.196.234,172.24.219.170,8883,54105,tcp,1,85,0.0
172.24.219.170,172.24.219.255,52357,1947,udp,1,82,0.0
172.24.219.170,255.255.255.255,52356,1947,udp,1,82,0.0
172.24.219.170,23.1.241.99,55557,443,tcp,1,82,0.0
104.18.18.125,172.24.219.170,443,62987,tcp,1,70,0.0
172.24.219.170,52.45.167.33,61540,443,tcp,1,66,0.0
172.24.219.170,3.211.215.184,61541,443,tcp,1,66,0.0
172.24.219.170,52.21.244.50,61542,443,tcp,1,66,0.0
172.24.219.170,50.19.137.21,61543,443,tcp,1,66,0.0
172.24.219.170,52.54.99.133,61544,443,tcp,1,66,0.0
172.24.219.170,100.29.174.183,61545,443,tcp,1,66,0.0
172.24.219.170,32.195.87.2,61546,443,tcp,1,66,0.0
35.174.255.222,172.24.219.170,443,63714,tcp,1,66,0.0
15.206.54.182,172.24.219.170,443,59798,tcp,1,58,0.0
172.24.219.170,35.174.255.222,63714,443,tcp,1,55,0.0
172.24.219.170,104.18.18.125,62987,443,tcp,1,55,0.0
172.24.219.170,15.206.54.182,59798,443,tcp,1,54,0.0
172.24.219.170,172.24.219.139,63112,53,tcp,1,54,0.0
172.24.219.170,172.24.219.139,63962,53,tcp,1,54,0.0
172.24.219.170,172.24.219.139,55385,53,tcp,1,54,0.0
