src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
172.24.219.170,172.24.219.139,52005,53,tcp,7,441,0.167
172.24.219.170,172.24.219.139,52656,53,tcp,7,441,0.443
172.24.219.170,172.24.219.139,55285,53,tcp,7,441,0.442
172.24.219.170,172.24.219.139,56512,53,tcp,7,437,0.53
172.24.219.170,172.24.219.139,64732,53,tcp,7,437,0.532
172.24.219.170,172.24.219.139,51635,53,tcp,7,430,0.015
172.24.219.170,172.24.219.139,58354,53,tcp,7,430,0.038
172.24.219.170,172.24.219.139,62233,53,tcp,7,425,0.18
172.24.219.170,172.24.219.139,60163,53,tcp,7,425,0.196
172.24.219.170,172.24.219.139,59938,53,tcp,7,424,0.171
172.24.219.170,172.24.219.139,50496,53,tcp,7,424,0.187
172.24.219.170,172.24.219.139,53865,53,tcp,7,424,0.529
172.24.219.170,172.24.219.139,53231,53,tcp,7,424,0.534
172.24.219.170,239.255.255.250,62863,1900,udp,2,424,1.009
172.24.219.139,172.24.219.170,53,58354,tcp,6,422,0.036
172.24.219.139,172.24.219.170,53,62233,tcp,6,420,0.177
172.24.219.139,172.24.219.170,53,59938,tcp,6,395,0.166
172.24.219.139,172.24.219.170,53,53865,tcp,6,395,0.526
172.24.219.139,172.24.219.170,53,50496,tcp,6,386,0.182
172.24.219.139,172.24.219.170,53,53231,tcp,6,386,0.533
172.24.219.139,172.24.219.170,67,68,udp,1,352,0.0
172.24.219.170,172.24.219.139,68,67,udp,1,342,0.0
54.156.74.22,172.24.219.170,443,64734,tcp,5,330,15.646
23.23.148.246,172.24.219.170,443,64736,tcp,5,330,15.608
23.23.148.246,172.24.219.170,443,64738,tcp,5,330,15.607
23.23.148.246,172.24.219.170,443,64737,tcp,5,330,15.599
54.236.65.238,172.24.219.170,443,64739,tcp,5,330,15.224
54.236.65.238,172.24.219.170,443,64740,tcp,5,330,15.224
18.209.130.136,172.24.219.170,443,64753,tcp,5,330,15.014
18.209.130.136,172.24.219.170,443,64751,tcp,5,330,15.181
23.20.131.48,172.24.219.170,443,64762,tcp,5,330,15.256
34.232.52.169,172.24.219.170,443,64763,tcp,5,330,15.313
23.23.42.155,172.24.219.170,443,64765,tcp,5,330,15.707
98.94.218.104,172.24.219.170,443,64768,tcp,5,330,15.457
23.23.42.155,172.24.219.170,443,64785,tcp,5,330,15.803
44.207.251.162,172.24.219.170,443,64786,tcp,5,330,15.566
98.94.218.104,172.24.219.170,443,64788,tcp,5,330,15.55
54.86.34.80,172.24.219.170,443,64791,tcp,5,330,15.033
23.20.131.48,172.24.219.170,443,64796,tcp,5,330,15.388
23.23.42.155,172.24.219.170,443,58355,tcp,5,330,15.747
23.23.42.155,172.24.219.170,443,58356,tcp,5,330,15.746
3.217.2.135,172.24.219.170,443,55913,tcp,5,330,15.442
23.23.42.155,172.24.219.170,443,55916,tcp,5,330,15.478
50.19.137.21,172.24.219.170,443,55932,tcp,5,330,15.264
52.45.167.33,172.24.219.170,443,55933,tcp,5,330,15.482
32.195.87.2,172.24.219.170,443,55935,tcp,5,330,15.622
52.71.94.128,172.24.219.170,443,55937,tcp,5,330,15.182
3.211.215.184,172.24.219.170,443,55939,tcp,5,330,15.167
18.204.81.105,172.24.219.170,443,55941,tcp,5,330,15.255
23.23.42.155,172.24.219.170,443,55942,tcp,5,330,15.701
100.52.87.151,172.24.219.170,443,55943,tcp,5,330,15.582
172.24.219.139,172.24.219.170,53,59811,tcp,2,319,0.001
20.201.215.0,172.24.219.170,3544,57116,udp,2,302,26.153
172.24.219.170,224.0.0.22,0,0,other,5,270,0.506
104.18.19.125,172.24.219.170,443,58281,tcp,2,267,0.004
172.24.219.139,172.24.219.170,53,52610,udp,1,267,0.0
54.156.74.22,172.24.219.170,443,64735,tcp,4,264,7.276
54.156.74.22,172.24.219.170,443,64733,tcp,4,264,7.27
52.204.28.146,172.24.219.170,443,64743,tcp,4,264,7.226
52.204.28.146,172.24.219.170,443,64744,tcp,4,264,7.223
52.204.28.146,172.24.219.170,443,64742,tcp,4,264,7.223
54.144.159.232,172.24.219.170,443,64746,tcp,4,264,7.211
54.144.159.232,172.24.219.170,443,64745,tcp,4,264,7.208
23.23.57.136,172.24.219.170,443,64748,tcp,4,264,7.069
23.23.57.136,172.24.219.170,443,64749,tcp,4,264,7.062
23.23.57.136,172.24.219.170,443,64750,tcp,4,264,7.058
