src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
172.24.219.170,23.1.241.99,55557,443,tcp,1,82,0.0
172.24.219.170,98.95.192.64,54907,443,tcp,1,78,0.0
172.24.219.170,172.24.219.139,58851,53,udp,1,74,0.0
172.24.219.170,172.24.219.139,51060,53,udp,1,74,0.0
104.16.79.73,172.24.219.170,443,55906,tcp,1,70,0.0
142.251.150.119,172.24.219.170,443,52005,tcp,1,70,0.0
13.224.163.88,172.24.219.170,443,60151,tcp,1,70,0.0
104.18.34.91,172.24.219.170,443,62453,tcp,1,70,0.0
35.237.69.59,172.24.219.170,443,55221,tcp,1,70,0.0
172.24.219.170,52.203.129.191,54908,443,tcp,1,66,0.0
98.95.192.64,172.24.219.170,443,54907,tcp,1,66,0.0
172.24.219.170,100.52.114.8,52702,443,tcp,1,66,0.0
172.24.219.170,52.4.67.246,52703,443,tcp,1,66,0.0
172.24.219.170,52.203.129.191,52704,443,tcp,1,66,0.0
172.24.219.170,32.193.11.138,52705,443,tcp,1,66,0.0
172.24.219.170,52.203.129.191,52706,443,tcp,1,66,0.0
151.101.66.137,172.24.219.170,443,57029,tcp,1,66,0.0
172.24.219.170,100.52.114.8,52707,443,tcp,1,66,0.0
172.24.219.170,54.204.230.178,52708,443,tcp,1,66,0.0
172.24.219.170,100.52.114.8,52709,443,tcp,1,66,0.0
172.24.219.170,52.4.67.246,52710,443,tcp,1,66,0.0
172.24.219.170,35.153.22.159,52711,443,tcp,1,66,0.0
172.24.219.170,52.4.67.246,52712,443,tcp,1,66,0.0
172.24.219.170,32.193.11.138,52713,443,tcp,1,66,0.0
172.24.219.170,100.27.106.98,52714,443,tcp,1,66,0.0
172.24.219.170,32.193.11.138,52715,443,tcp,1,66,0.0
172.24.219.170,54.204.230.178,52716,443,tcp,1,66,0.0
172.24.219.170,54.204.230.178,52718,443,tcp,1,66,0.0
172.253.144.188,172.24.219.170,5228,53234,tcp,1,66,0.0
23.46.207.194,172.24.219.170,443,50319,tcp,1,66,0.0
172.24.219.170,52.203.129.191,52719,443,tcp,1,66,0.0
172.24.219.170,35.153.22.159,52720,443,tcp,1,66,0.0
172.24.219.170,35.153.22.159,52721,443,tcp,1,66,0.0
172.24.219.170,100.52.114.8,52722,443,tcp,1,66,0.0
172.24.219.170,100.27.106.98,52723,443,tcp,1,66,0.0
172.24.219.170,100.27.106.98,52724,443,tcp,1,66,0.0
172.24.219.170,52.4.67.246,52725,443,tcp,1,66,0.0
172.24.219.170,32.193.11.138,52728,443,tcp,1,66,0.0
172.24.219.170,54.204.230.178,52729,443,tcp,1,66,0.0
23.1.241.99,172.24.219.170,443,62635,tcp,1,66,0.0
172.24.219.170,35.153.22.159,52730,443,tcp,1,66,0.0
172.24.219.170,100.27.106.98,52731,443,tcp,1,66,0.0
23.1.241.99,172.24.219.170,443,57807,tcp,1,66,0.0
23.46.207.194,172.24.219.170,443,61126,tcp,1,66,0.0
23.1.241.99,172.24.219.170,443,63216,tcp,1,66,0.0
76.76.21.21,172.24.219.170,443,54840,tcp,1,66,0.0
172.24.219.170,151.101.66.137,57029,443,tcp,1,55,0.0
172.24.219.170,104.16.79.73,55906,443,tcp,1,55,0.0
172.24.219.170,172.253.144.188,53234,5228,tcp,1,55,0.0
172.24.219.170,23.46.207.194,50319,443,tcp,1,55,0.0
172.24.219.170,23.1.241.99,62635,443,tcp,1,55,0.0
172.24.219.170,23.1.241.99,57807,443,tcp,1,55,0.0
172.24.219.170,142.251.150.119,52005,443,tcp,1,55,0.0
172.24.219.170,23.46.207.194,61126,443,tcp,1,55,0.0
172.24.219.170,13.224.163.88,60151,443,tcp,1,55,0.0
172.24.219.170,23.1.241.99,63216,443,tcp,1,55,0.0
172.24.219.170,104.18.34.91,62453,443,tcp,1,55,0.0
172.24.219.170,76.76.21.21,54840,443,tcp,1,55,0.0
172.24.219.170,35.237.69.59,55221,443,tcp,1,55,0.0
172.24.219.170,142.250.182.227,62142,443,tcp,1,55,0.0
172.24.219.170,32.195.79.40,53189,443,tcp,1,55,0.0
172.24.219.170,51.8.64.151,58683,443,tcp,1,54,0.0
51.8.64.151,172.24.219.170,443,58683,tcp,1,54,0.0
172.24.219.170,172.24.219.139,54465,53,tcp,1,54,0.0
172.24.219.170,172.24.219.139,49364,53,tcp,1,54,0.0
